id,name,cause_area,intervention_area,cost_effectiveness,image_path,url,description
Faunalytics,Faunalytics,Animal Welfare,Animal Welfare,13,faunalytics.jpg,https://www.givingwhatwecan.org/charities/faunalytics,"Faunalytics maintains the largest database of animal advocacy research, works with animal advocacy organisations on projects to improve their impact, and produces original animal advocacy research."
Good Food Institute,Good Food Institute,Animal Welfare,Animal Welfare,13,gfi.jpg,https://www.givingwhatwecan.org/charities/good-food-institute,The Good Food Institute (GFI) is an international nonprofit working to improve the food system by developing and promoting plant- and cell-based alternatives to animal products.
The Humane League,The Humane League,Animal Welfare,Animal Welfare,13,THL.jpg,https://www.givingwhatwecan.org/charities/the-humane-league,"The Humane League exists to end the abuse of animals raised for food. It does this by influencing the policies of the world’s biggest companies, demanding legislation, and empowering others to take action and leave animals off their plates."
Johns Hopkins Center For Health Security,Johns Hopkins Center For Health Security,Catastrophic Risks,,13,johns_hopkins.jpg,https://www.givingwhatwecan.org/charities/johns-hopkins-center-for-health-security,The Johns Hopkins Center for Health Security (CHS) conducts independent research and analysis aimed at preventing and responding to public health crises.
Nuclear Threat Initiative - Biosecurity programme,Nuclear Threat Initiative - Biosecurity programme,Catastrophic Risks,Nuclear Security,13,nuclear_security.jpg,https://www.givingwhatwecan.org/charities/johns-hopkins-center-for-health-security,The Nuclear Threat Initiative's programme on biological risk helps create a better future by reducing the risks of and preparing for potentially catastrophic natural and engineered pandemics.
Cool Earth,Cool Earth,Catastrophic Risks,Climate Crisis,13,cool_earth.png,https://www.givingwhatwecan.org/reports/cool-earth,Cool Earth is the charity that backs people to protect rainforest and fight climate change. Join our radically optimistic rainforest revolution now.
Movement Grants Fund,Movement Grants Fund,Animal Welfare,,13,movement_grants_fund.jpg,https://www.givingwhatwecan.org/charities/ace-movement-grants,The Animal Charity Evaluators (ACE) Movement Grants fund promising advocacy projects around the globe working to reduce animal suffering. Applications are accepted annually and grants are determined by a review committee.
Mercy For Animals,Mercy For Animals,Animal Welfare,,13,mercy_for_animals.png,https://mercyforanimals.org/,Mercy for Animals (MFA) is an animal protection organization that conducts undercover investigations of factory farms and engages in outreach activities to promote veganism
Effectiv Spenden,Effektiv Spenden,Funds,,13,effektiv_spenden.jpg,https://www.givingwhatwecan.org/charities/effektiv-spenden,"Effektiv Spenden (German for ""donate effectively"") is a nonprofit donation platform that promotes effective giving in Germany and Switzerland."
Clean Air Task Force,Clean Air Task Force,Catastrophic Risks,,13,clean_air_task_force.jpg,https://www.givingwhatwecan.org/charities/clean-air-task-force,The Clean Air Task Force (CATF) is an international nonprofit that promotes technical and policy change for the climate. CATF values pragmatism and believes all promising options should be explored to prevent catastrophic climate change.
Climate Change Fund,Climate Change Fund,Funds,,13,climate_change_fund.jpg,https://www.givingwhatwecan.org/charities/founders-pledge-climate-change-fund,"The Founders Pledge Climate Change Fund supports highly impactful, evidence-based solutions to the “triple challenge” of carbon emissions, air pollution, and energy poverty."
EA Infrastructure Fund,EA Infrastructure Fund,Funds,,13,ea_infrastructure_fund.jpg,https://www.givingwhatwecan.org/charities/effective-altruism-infrastructure-fund,"The Effective Altruism Infrastructure Fund aims to increase the impact of projects that use the principles of effective altruism, by increasing their access to talent, capital, and knowledge."
The Life You Can Save,The Life You Can Save,Funds,,13,life_you_can_save.jpg,https://www.givingwhatwecan.org/charities/the-life-you-can-save,The Life You Can Save works to end extreme global poverty through the power of effective giving.
GiveWell: Top Charities Fund,GiveWell: Top Charities Fund,Funds,Funds,13,give_well.jpg,https://www.givingwhatwecan.org/charities/givewell,"GiveWell's Top Charities Fund supports the highest-value funding opportunities among its recommended charities, which are those that save or improve lives the most per dollar."
Wild Animal Initiative,Wild Animal Initiative,Animal Welfare,Animal Welfare,,wild.jpg,https://www.givingwhatwecan.org/charities/wild-animal-initiative,"Wild Animal Initiative (WAI) works to improve wild animal welfare by expanding the field of wild animal research. By conducting its own research and helping support the needs of other wild animal researchers, the organisation aims to garner public and academic interest in wild animal welfare and identify evidence-based solutions to the struggles wild animals face."
